seed,checkpoint,panel,map_seed,time_bucket,states,action_values,winnable_states,impossible_states,optimal_winnable_actions,abs_error_sum,squared_error_sum,signed_error_sum,action_regret_sum,winnable_regret_sum,impossible_regret_sum,mean_abs_q_error,rmse_q_error,q95_abs_q_error,mean_signed_q_bias,optimal_action_rate,mean_action_regret,winnable_mean_action_regret,impossible_action_regret
2,10000,train,300057,25-32,160,640,160,0,142,10.266033916605837,0.2585652865889926,-2.3969297864878776,0.6319728720466098,0.6319728720466098,0.0,0.01604067799469662,0.020099956723717116,0.02368308654394146,-0.0037452027913873085,0.8875,0.003949830450291311,0.003949830450291311,
2,10000,train,300058,all,640,2560,584,56,483,118.47793399979162,22.657579301251246,-22.598192090819655,6.1672112282060105,6.1672112282060105,0.0,0.0462804429686686,0.09407771741784166,0.21313403374716985,-0.008827418785476427,0.827054794520548,0.009636267544071892,0.010560293198982895,0.0
2,10000,train,300058,1-8,160,640,104,56,90,73.41869426164286,21.090907586068067,11.47034855683504,3.0534565906280005,3.0534565906280005,0.0,0.11471670978381696,0.1815338621393578,0.3166856833067533,0.01792241962005475,0.8653846153846154,0.019084103691425002,0.029360159525269235,0.0
2,10000,train,300058,9-16,160,640,160,0,137,14.398501289698013,0.47399242185561696,-8.695971056828553,0.8204522672120029,0.8204522672120029,0.0,0.022497658265153146,0.027214208773164827,0.03790355917046068,-0.013587454776294614,0.85625,0.005127826670075018,0.005127826670075018,
2,10000,train,300058,17-24,160,640,160,0,134,14.407589318649944,0.4838690259800944,-11.853324338803345,0.9313928453120031,0.9313928453120031,0.0,0.022511858310390535,0.027496278895405058,0.0379027008635759,-0.018520819279380228,0.8375,0.005821205283200019,0.005821205283200019,
2,10000,train,300058,25-32,160,640,160,0,122,16.25314912980081,0.6088102673474705,-13.519245252022797,1.361909525054004,1.361909525054004,0.0,0.025395545515313766,0.030842601101891885,0.037679975442385535,-0.021123820706285622,0.7625,0.008511934531587526,0.008511934531587526,
2,10000,train,300059,all,640,2560,582,58,507,108.864146425043,25.92190146246033,10.586291699673797,6.4429001889236845,6.4429001889236845,0.0,0.042525057197282425,0.10062674971782387,0.21803155593988652,0.004135270195185077,0.8711340206185567,0.010067031545193257,0.01107027523870049,0.0
2,10000,train,300059,1-8,160,640,102,58,77,75.75192620170296,24.956665927914884,5.874991650629044,4.578797105409682,4.5787971054096825,0.0,0.11836238469016087,0.19747098650780828,0.33738337126558055,0.00917967445410788,0.7549019607843137,0.02861748190881051,0.04489016770009493,0.0
2,10000,train,300059,9-16,160,640,160,0,142,12.403907697822907,0.406597895268721,3.7302908612019703,0.668229193914001,0.668229193914001,0.0,0.019381105777848292,0.02520534092920341,0.03388660631145624,0.005828579470628079,0.8875,0.004176432461962506,0.004176432461962506,
2,10000,train,300059,17-24,160,640,160,0,144,10.328904760504605,0.27628319607688845,1.6061346841580555,0.5979369448000007,0.5979369448000007,0.0,0.016138913688288445,0.020777210926159896,0.03037067743969538,0.0025095854439969615,0.9,0.0037371059050000043,0.0037371059050000043,
