map_seed,repetition,step,current_row,action,reward,next_row,terminated,truncated,remaining,policy,q0,q1,q2,q3
300001,4,7,1113,3,0.031200000000000006,1144,0,0,26,random,,,,
300001,4,8,1144,3,-0.008799999999999999,1143,0,0,25,random,,,,
300001,4,9,1143,0,-0.0476,982,0,0,24,random,,,,
300001,4,10,982,0,-0.04639999999999999,885,0,0,23,random,,,,
300001,4,11,885,2,-0.04520000000000001,852,0,0,22,random,,,,
300001,4,12,852,1,-0.005199999999999995,851,0,0,21,random,,,,
300001,4,13,851,2,-0.005199999999999995,850,0,0,20,random,,,,
300001,4,14,850,2,-0.005199999999999995,849,0,0,19,random,,,,
300001,4,15,849,1,-0.005199999999999995,848,0,0,18,random,,,,
300001,4,16,848,3,0.03360000000000002,879,0,0,17,random,,,,
300001,4,17,879,1,0.03239999999999999,974,0,0,16,random,,,,
300001,4,18,974,0,-0.04639999999999999,877,0,0,15,random,,,,
300001,4,19,877,1,0.03239999999999999,972,0,0,14,random,,,,
300001,4,20,972,3,-0.007599999999999997,971,0,0,13,random,,,,
300001,4,21,971,0,-0.04639999999999999,874,0,0,12,random,,,,
300001,4,22,874,2,-0.04520000000000001,841,0,0,11,random,,,,
300001,4,23,841,0,-0.04399999999999999,744,0,0,10,random,,,,
300001,4,24,744,2,-0.04279999999999999,711,0,0,9,random,,,,
300001,4,25,711,1,-0.0027999999999999935,710,0,0,8,random,,,,
300001,4,26,710,2,-0.041599999999999984,677,0,0,7,random,,,,
300001,4,27,677,0,-0.001599999999999992,676,0,0,6,random,,,,
300001,4,28,676,3,0.0372,707,0,0,5,random,,,,
300001,4,29,707,3,0.036,738,0,0,4,random,,,,
300001,4,30,738,0,-0.003999999999999995,737,0,0,3,random,,,,
300001,4,31,737,1,0.0348,832,0,0,2,random,,,,
300001,4,32,832,2,0.15000000000000002,-1,0,1,1,random,,,,
300001,5,1,959,1,0.03360000000000002,1086,0,0,32,random,,,,
300001,5,2,1086,2,-0.04520000000000001,1053,0,0,31,random,,,,
300001,5,3,1053,3,0.03360000000000002,1084,0,0,30,random,,,,
300001,5,4,1084,2,-0.04520000000000001,1051,0,0,29,random,,,,
300001,5,5,1051,0,-0.005199999999999995,1050,0,0,28,random,,,,
300001,5,6,1050,2,-0.04399999999999999,1017,0,0,27,random,,,,
300001,5,7,1017,2,-0.003999999999999995,1016,0,0,26,random,,,,
300001,5,8,1016,0,-0.04279999999999999,919,0,0,25,random,,,,
300001,5,9,919,0,-0.0027999999999999935,918,0,0,24,random,,,,
300001,5,10,918,3,-0.0027999999999999935,917,0,0,23,random,,,,
300001,5,11,917,0,-0.0027999999999999935,916,0,0,22,random,,,,
300001,5,12,916,2,-0.0027999999999999935,915,0,0,21,random,,,,
300001,5,13,915,1,0.036,1010,0,0,20,random,,,,
300001,5,14,1010,2,-0.003999999999999995,1009,0,0,19,random,,,,
300001,5,15,1009,2,-0.003999999999999995,1008,0,0,18,random,,,,
